State,County,Dentists,Mental health providers,Primary care physicians
NJ,Atlantic County,54.0,80.0,76.0
NJ,Atlantic County,53.0,104.0,75.0
NJ,Bergen County,120.0,170.0,122.0
NJ,Bergen County,123.0,204.0,125.0
NJ,Burlington County,67.0,98.0,86.0
NJ,Burlington County,70.0,153.0,88.0
NJ,Camden County,70.0,175.0,99.0
NJ,Camden County,73.0,226.0,101.0
NJ,Cape May County,49.0,68.0,55.0
NJ,Cape May County,50.0,88.0,59.0
NJ,Cumberland County,53.0,46.0,44.0
NJ,Cumberland County,58.0,66.0,45.0
NJ,Essex County,85.0,141.0,85.0
NJ,Essex County,90.0,176.0,84.0
NJ,Gloucester County,40.0,39.0,57.0
NJ,Gloucester County,43.0,67.0,55.0
NJ,Hudson County,56.0,37.0,53.0
NJ,Hudson County,59.0,49.0,53.0
NJ,Hunterdon County,76.0,135.0,120.0
NJ,Hunterdon County,80.0,195.0,117.0
NJ,Mercer County,71.0,197.0,102.0
NJ,Mercer County,76.0,267.0,104.0
NJ,Middlesex County,77.0,113.0,93.0
NJ,Middlesex County,81.0,149.0,95.0
NJ,Monmouth County,92.0,149.0,114.0
NJ,Monmouth County,95.0,202.0,115.0
NJ,Morris County,105.0,165.0,102.0
NJ,Morris County,107.0,231.0,102.0
NJ,Ocean County,60.0,86.0,50.0
NJ,Ocean County,62.0,121.0,49.0
NJ,Passaic County,67.0,75.0,58.0
NJ,Passaic County,68.0,105.0,57.0
NJ,Salem County,28.0,28.0,42.0
NJ,Salem County,29.0,72.0,41.0
NJ,Somerset County,90.0,179.0,107.0
NJ,Somerset County,91.0,228.0,107.0
NJ,Sussex County,67.0,84.0,55.0
NJ,Sussex County,70.0,132.0,50.0
NJ,Union County,80.0,127.0,71.0
NJ,Union County,82.0,160.0,70.0
NJ,Warren County,67.0,110.0,60.0
NJ,Warren County,67.0,154.0,63.0
NC,Alamance County,44.0,76.0,55.0
NC,Alamance County,45.0,140.0,57.0
NC,Alexander County,16.0,18.0,19.0
NC,Alexander County,16.0,43.0,19.0
NC,Alleghany County,18.0,145.0,109.0
NC,Alleghany County,18.0,229.0,110.0
NC,Anson County,24.0,83.0,45.0
NC,Anson County,27.0,149.0,42.0
NC,Ashe County,22.0,95.0,44.0
NC,Ashe County,26.0,169.0,48.0
NC,Avery County,15.0,224.0,28.0
NC,Avery County,17.0,356.0,74.0
NC,Beaufort County,31.0,75.0,50.0
NC,Beaufort County,34.0,118.0,53.0
NC,Bertie County,9.0,27.0,24.0
NC,Bertie County,10.0,49.0,29.0
NC,Bladen County,31.0,37.0,26.0
NC,Bladen County,34.0,55.0,26.0
NC,Brunswick County,33.0,52.0,43.0
NC,Brunswick County,34.0,79.0,39.0
NC,Buncombe County,64.0,296.0,126.0
NC,Buncombe County,67.0,463.0,127.0
NC,Burke County,39.0,144.0,58.0
NC,Burke County,41.0,220.0,56.0
NC,Cabarrus County,38.0,168.0,89.0
NC,Cabarrus County,42.0,239.0,92.0
NC,Caldwell County,28.0,29.0,44.0
NC,Caldwell County,29.0,60.0,44.0
NC,Camden County,,40.0,20.0
NC,Camden County,,59.0,10.0
NC,Carteret County,68.0,71.0,73.0
NC,Carteret County,70.0,120.0,62.0
NC,Caswell County,12.0,28.0,4.0
NC,Caswell County,13.0,39.0,9.0
NC,Catawba County,47.0,131.0,66.0
NC,Catawba County,48.0,192.0,67.0
NC,Chatham County,22.0,73.0,45.0
NC,Chatham County,21.0,97.0,100.0
NC,Cherokee County,33.0,106.0,44.0
NC,Cherokee County,33.0,143.0,41.0
NC,Chowan County,33.0,53.0,74.0
NC,Chowan County,34.0,95.0,81.0
NC,Clay County,56.0,47.0,47.0
NC,Clay County,66.0,47.0,47.0
NC,Cleveland County,36.0,74.0,51.0
NC,Cleveland County,37.0,125.0,50.0
NC,Columbus County,21.0,89.0,40.0
NC,Columbus County,21.0,162.0,38.0
NC,Craven County,52.0,133.0,66.0
NC,Craven County,56.0,181.0,68.0
NC,Cumberland County,83.0,169.0,76.0
NC,Cumberland County,91.0,262.0,73.0
NC,Currituck County,16.0,37.0,17.0
NC,Currituck County,20.0,41.0,17.0
